Timestamp,Terreno,Duracion(s)
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,LISO,0.1
2026-05-18 19:32:16,LISO,0.1
2026-05-18 19:32:16,LISO,0.1
2026-05-18 19:32:16,LISO,0.1
2026-05-18 19:32:16,LISO,0.1
2026-05-18 19:32:16,LISO,0.1
2026-05-18 19:32:16,LISO,0.1
2026-05-18 19:32:16,LISO,0.1
2026-05-18 19:32:16,LISO,0.1
2026-05-18 19:32:16,LISO,0.1
2026-05-18 19:32:16,LISO,0.1
2026-05-18 19:32:16,LISO,0.1
2026-05-18 19:32:16,LISO,0.1
2026-05-18 19:32:16,LISO,0.1
2026-05-18 19:32:16,LISO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:10,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
